orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type
Top,0,23,15,gfpga_pad_IO_F2A[383],F2A_GPIO2_31,
Top,0,23,14,gfpga_pad_IO_F2A[382],F2A_GPIO2_30,
Top,0,23,13,gfpga_pad_IO_F2A[381],F2A_GPIO2_29,
Top,0,23,12,gfpga_pad_IO_F2A[380],F2A_GPIO2_28,
Top,0,23,11,gfpga_pad_IO_A2F[379],A2F_GPIO2_31,
Top,0,23,10,gfpga_pad_IO_A2F[378],A2F_GPIO2_30,
Top,0,23,9,gfpga_pad_IO_A2F[377],A2F_GPIO2_29,
Top,0,23,8,gfpga_pad_IO_A2F[376],A2F_GPIO2_28,
Top,0,22,15,gfpga_pad_IO_F2A[367],F2A_GPIO2_27,
Top,0,22,14,gfpga_pad_IO_F2A[366],F2A_GPIO2_26,
Top,0,22,13,gfpga_pad_IO_F2A[365],F2A_GPIO2_25,
Top,0,22,12,gfpga_pad_IO_F2A[364],F2A_GPIO2_24,
Top,0,22,11,gfpga_pad_IO_A2F[363],A2F_GPIO2_27,
Top,0,22,10,gfpga_pad_IO_A2F[362],A2F_GPIO2_26,
Top,0,22,9,gfpga_pad_IO_A2F[361],A2F_GPIO2_25,
Top,0,22,8,gfpga_pad_IO_A2F[360],A2F_GPIO2_24,
Top,0,21,15,gfpga_pad_IO_F2A[351],F2A_GPIO2_23,
Top,0,21,14,gfpga_pad_IO_F2A[350],F2A_GPIO2_22,
Top,0,21,13,gfpga_pad_IO_F2A[349],F2A_GPIO2_21,
Top,0,21,12,gfpga_pad_IO_F2A[348],F2A_GPIO2_20,
Top,0,21,11,gfpga_pad_IO_A2F[347],A2F_GPIO2_23,
Top,0,21,10,gfpga_pad_IO_A2F[346],A2F_GPIO2_22,
Top,0,21,9,gfpga_pad_IO_A2F[345],A2F_GPIO2_21,
Top,0,21,8,gfpga_pad_IO_A2F[344],A2F_GPIO2_20,
Top,0,21,0,gfpga_pad_IO_A2F[336],A2F_RTC_8KHZ,
Top,0,20,15,gfpga_pad_IO_F2A[335],F2A_GPIO2_19,
Top,0,20,14,gfpga_pad_IO_F2A[334],F2A_GPIO2_18,
Top,0,20,13,gfpga_pad_IO_F2A[333],F2A_GPIO2_17,
Top,0,20,12,gfpga_pad_IO_F2A[332],F2A_GPIO2_16,
Top,0,20,11,gfpga_pad_IO_A2F[331],A2F_GPIO2_19,
Top,0,20,10,gfpga_pad_IO_A2F[330],A2F_GPIO2_18,
Top,0,20,9,gfpga_pad_IO_A2F[329],A2F_GPIO2_17,
Top,0,20,8,gfpga_pad_IO_A2F[328],A2F_GPIO2_16,
Top,0,20,1,gfpga_pad_IO_A2F[321],A2F_USB_CLK_EVENT,
Top,0,20,0,gfpga_pad_IO_F2A[320],F2A_EEC_IN,
Top,0,19,15,gfpga_pad_IO_F2A[319],F2A_GPIO2_15,
Top,0,19,14,gfpga_pad_IO_F2A[318],F2A_GPIO2_14,
Top,0,19,13,gfpga_pad_IO_F2A[317],F2A_GPIO2_13,
Top,0,19,12,gfpga_pad_IO_F2A[316],F2A_GPIO2_12,
Top,0,19,11,gfpga_pad_IO_A2F[315],A2F_GPIO2_15,
Top,0,19,10,gfpga_pad_IO_A2F[314],A2F_GPIO2_14,
Top,0,19,9,gfpga_pad_IO_A2F[313],A2F_GPIO2_13,
Top,0,19,8,gfpga_pad_IO_A2F[312],A2F_GPIO2_12,
Top,0,19,5,gfpga_pad_IO_A2F[309],RFU,
Top,0,19,4,gfpga_pad_IO_A2F[308],RFU,
Top,0,19,3,gfpga_pad_IO_F2A[307],RFU,
Top,0,19,2,gfpga_pad_IO_F2A[306],RFU,
Top,0,19,1,gfpga_pad_IO_A2F[305],A2F_IRQ9_ACK,
Top,0,19,0,gfpga_pad_IO_F2A[304],F2A_IRQ9,
Top,0,18,15,gfpga_pad_IO_F2A[303],F2A_GPIO2_11,
Top,0,18,14,gfpga_pad_IO_F2A[302],F2A_GPIO2_10,
Top,0,18,13,gfpga_pad_IO_F2A[301],F2A_GPIO2_9,
Top,0,18,12,gfpga_pad_IO_F2A[300],F2A_GPIO2_8,
Top,0,18,11,gfpga_pad_IO_A2F[299],A2F_GPIO2_11,
Top,0,18,10,gfpga_pad_IO_A2F[298],A2F_GPIO2_10,
Top,0,18,9,gfpga_pad_IO_A2F[297],A2F_GPIO2_9,
Top,0,18,8,gfpga_pad_IO_A2F[296],A2F_GPIO2_8,
Top,0,18,5,gfpga_pad_IO_F2A[293],F2A_TSC9_EVENT,
Top,0,18,4,gfpga_pad_IO_F2A[292],F2A_TSC8_EVENT,
Top,0,18,3,gfpga_pad_IO_F2A[291],RFU,
Top,0,18,2,gfpga_pad_IO_F2A[290],RFU,
Top,0,18,1,gfpga_pad_IO_A2F[289],A2F_IRQ8_ACK,
Top,0,18,0,gfpga_pad_IO_F2A[288],F2A_IRQ8,
Top,0,17,15,gfpga_pad_IO_F2A[287],F2A_GPIO2_7,
Top,0,17,14,gfpga_pad_IO_F2A[286],F2A_GPIO2_6,
Top,0,17,13,gfpga_pad_IO_F2A[285],F2A_GPIO2_5,
Top,0,17,12,gfpga_pad_IO_F2A[284],F2A_GPIO2_4,
Top,0,17,11,gfpga_pad_IO_A2F[283],A2F_GPIO2_7,
Top,0,17,10,gfpga_pad_IO_A2F[282],A2F_GPIO2_6,
Top,0,17,9,gfpga_pad_IO_A2F[281],A2F_GPIO2_5,
Top,0,17,8,gfpga_pad_IO_A2F[280],A2F_GPIO2_4,
Top,0,17,4,gfpga_pad_IO_F2A[276],F2A_TSC6_EVENT,
Top,0,17,3,gfpga_pad_IO_A2F[275],A2F_GPIO2_WR_ACK,
Top,0,17,2,gfpga_pad_IO_A2F[274],A2F_GPIO2_RD_ACK,
Top,0,17,1,gfpga_pad_IO_A2F[273],A2F_IRQ6_ACK,
Top,0,17,0,gfpga_pad_IO_F2A[272],F2A_IRQ6,
Top,0,16,15,gfpga_pad_IO_F2A[271],F2A_GPIO2_3,
Top,0,16,14,gfpga_pad_IO_F2A[270],F2A_GPIO2_2,
Top,0,16,13,gfpga_pad_IO_F2A[269],F2A_GPIO2_1,
Top,0,16,12,gfpga_pad_IO_F2A[268],F2A_GPIO2_0,
Top,0,16,11,gfpga_pad_IO_A2F[267],A2F_GPIO2_3,
Top,0,16,10,gfpga_pad_IO_A2F[266],A2F_GPIO2_2,
Top,0,16,9,gfpga_pad_IO_A2F[265],A2F_GPIO2_1,
Top,0,16,8,gfpga_pad_IO_A2F[264],A2F_GPIO2_0,
Top,0,16,5,gfpga_pad_IO_F2A[261],F2A_TSC5_EVENT,
Top,0,16,4,gfpga_pad_IO_F2A[260],F2A_TSC4_EVENT,
Top,0,16,3,gfpga_pad_IO_A2F[259],A2F_GPIO2_WR_ACK,
Top,0,16,2,gfpga_pad_IO_A2F[258],A2F_GPIO2_RD_ACK,
Top,0,16,1,gfpga_pad_IO_A2F[257],A2F_IRQ5_ACK,
Top,0,16,0,gfpga_pad_IO_F2A[256],F2A_IRQ5,
Top,0,15,15,gfpga_pad_IO_F2A[255],F2A_GPIO1_31,
Top,0,15,14,gfpga_pad_IO_F2A[254],F2A_GPIO1_30,
Top,0,15,13,gfpga_pad_IO_F2A[253],F2A_GPIO1_29,
Top,0,15,12,gfpga_pad_IO_F2A[252],F2A_GPIO1_28,
Top,0,15,11,gfpga_pad_IO_A2F[251],A2F_GPIO1_31,
Top,0,15,10,gfpga_pad_IO_A2F[250],A2F_GPIO1_30,
Top,0,15,9,gfpga_pad_IO_A2F[249],A2F_GPIO1_29,
Top,0,15,8,gfpga_pad_IO_A2F[248],A2F_GPIO1_28,
Top,0,15,5,gfpga_pad_IO_A2F[245],RFU,
Top,0,15,4,gfpga_pad_IO_A2F[244],RFU,
Top,0,15,3,gfpga_pad_IO_F2A[243],RFU,
Top,0,15,2,gfpga_pad_IO_F2A[242],RFU,
Top,0,15,1,gfpga_pad_IO_F2A[241],F2A_RAM_WE1_HS,
Top,0,15,0,gfpga_pad_IO_F2A[240],F2A_RAM_WE0_HS,
Top,0,14,15,gfpga_pad_IO_F2A[239],F2A_GPIO1_27,
Top,0,14,14,gfpga_pad_IO_F2A[238],F2A_GPIO1_26,
Top,0,14,13,gfpga_pad_IO_F2A[237],F2A_GPIO1_25,
Top,0,14,12,gfpga_pad_IO_F2A[236],F2A_GPIO1_24,
Top,0,14,11,gfpga_pad_IO_A2F[235],A2F_GPIO1_27,
Top,0,14,10,gfpga_pad_IO_A2F[234],A2F_GPIO1_26,
Top,0,14,9,gfpga_pad_IO_A2F[233],A2F_GPIO1_25,
Top,0,14,8,gfpga_pad_IO_A2F[232],A2F_GPIO1_24,
Top,0,14,7,gfpga_pad_IO_F2A[231],F2A_RAM_DATA15_HS,
Top,0,14,6,gfpga_pad_IO_F2A[230],F2A_RAM_DATA14_HS,
Top,0,14,5,gfpga_pad_IO_F2A[229],F2A_RAM_DATA13_HS,
Top,0,14,4,gfpga_pad_IO_F2A[228],F2A_RAM_DATA12_HS,
Top,0,14,3,gfpga_pad_IO_F2A[227],F2A_RAM_DATA11_HS,
Top,0,14,2,gfpga_pad_IO_F2A[226],F2A_RAM_DATA10_HS,
Top,0,14,1,gfpga_pad_IO_F2A[225],F2A_RAM_DATA9_HS,
Top,0,14,0,gfpga_pad_IO_F2A[224],F2A_RAM_DATA8_HS,
Top,0,13,15,gfpga_pad_IO_F2A[223],F2A_GPIO1_23,
Top,0,13,14,gfpga_pad_IO_F2A[222],F2A_GPIO1_22,
Top,0,13,13,gfpga_pad_IO_F2A[221],F2A_GPIO1_21,
Top,0,13,12,gfpga_pad_IO_F2A[220],F2A_GPIO1_20,
Top,0,13,11,gfpga_pad_IO_A2F[219],A2F_GPIO1_23,
Top,0,13,10,gfpga_pad_IO_A2F[218],A2F_GPIO1_22,
Top,0,13,9,gfpga_pad_IO_A2F[217],A2F_GPIO1_21,
Top,0,13,8,gfpga_pad_IO_A2F[216],A2F_GPIO1_20,
Top,0,13,7,gfpga_pad_IO_F2A[215],F2A_RAM_DATA7_HS,
Top,0,13,6,gfpga_pad_IO_F2A[214],F2A_RAM_DATA6_HS,
Top,0,13,5,gfpga_pad_IO_F2A[213],F2A_RAM_DATA5_HS,
Top,0,13,4,gfpga_pad_IO_F2A[212],F2A_RAM_DATA4_HS,
Top,0,13,3,gfpga_pad_IO_F2A[211],F2A_RAM_DATA3_HS,
Top,0,13,2,gfpga_pad_IO_F2A[210],F2A_RAM_DATA2_HS,
Top,0,13,1,gfpga_pad_IO_F2A[209],F2A_RAM_DATA1_HS,
Top,0,13,0,gfpga_pad_IO_F2A[208],F2A_RAM_DATA0_HS,
Top,0,12,15,gfpga_pad_IO_F2A[207],F2A_GPIO1_19,
Top,0,12,14,gfpga_pad_IO_F2A[206],F2A_GPIO1_18,
Top,0,12,13,gfpga_pad_IO_F2A[205],F2A_GPIO1_17,
Top,0,12,12,gfpga_pad_IO_F2A[204],F2A_GPIO1_16,
Top,0,12,11,gfpga_pad_IO_A2F[203],A2F_GPIO1_19,
Top,0,12,10,gfpga_pad_IO_A2F[202],A2F_GPIO1_18,
Top,0,12,9,gfpga_pad_IO_A2F[201],A2F_GPIO1_17,
Top,0,12,8,gfpga_pad_IO_A2F[200],A2F_GPIO1_16,
Top,0,12,6,gfpga_pad_IO_F2A[198],F2A_RAM_ADDR14_HS,
Top,0,12,5,gfpga_pad_IO_F2A[197],F2A_RAM_ADDR13_HS,
Top,0,12,4,gfpga_pad_IO_F2A[196],F2A_RAM_ADDR12_HS,
Top,0,12,3,gfpga_pad_IO_F2A[195],F2A_RAM_ADDR11_HS,
Top,0,12,2,gfpga_pad_IO_F2A[194],F2A_RAM_ADDR10_HS,
Top,0,12,1,gfpga_pad_IO_F2A[193],F2A_RAM_ADDR9_HS,
Top,0,12,0,gfpga_pad_IO_F2A[192],F2A_RAM_ADDR8_HS,
Top,0,11,15,gfpga_pad_IO_F2A[191],F2A_GPIO1_15,
Top,0,11,14,gfpga_pad_IO_F2A[190],F2A_GPIO1_14,
Top,0,11,13,gfpga_pad_IO_F2A[189],F2A_GPIO1_13,
Top,0,11,12,gfpga_pad_IO_F2A[188],F2A_GPIO1_12,
Top,0,11,11,gfpga_pad_IO_A2F[187],A2F_GPIO1_15,
Top,0,11,10,gfpga_pad_IO_A2F[186],A2F_GPIO1_14,
Top,0,11,9,gfpga_pad_IO_A2F[185],A2F_GPIO1_13,
Top,0,11,8,gfpga_pad_IO_A2F[184],A2F_GPIO1_12,
Top,0,11,7,gfpga_pad_IO_F2A[183],F2A_RAM_ADDR7_HS,
Top,0,11,6,gfpga_pad_IO_F2A[182],F2A_RAM_ADDR6_HS,
Top,0,11,5,gfpga_pad_IO_F2A[181],F2A_RAM_ADDR5_HS,
Top,0,11,4,gfpga_pad_IO_F2A[180],F2A_RAM_ADDR4_HS,
Top,0,11,3,gfpga_pad_IO_F2A[179],F2A_RAM_ADDR3_HS,
Top,0,11,2,gfpga_pad_IO_F2A[178],F2A_RAM_ADDR2_HS,
Top,0,11,1,gfpga_pad_IO_F2A[177],F2A_RAM_ADDR1_HS,
Top,0,11,0,gfpga_pad_IO_F2A[176],F2A_RAM_CE_HS,
Top,0,10,15,gfpga_pad_IO_F2A[175],F2A_GPIO1_11,
Top,0,10,14,gfpga_pad_IO_F2A[174],F2A_GPIO1_10,
Top,0,10,13,gfpga_pad_IO_F2A[173],F2A_GPIO1_9,
Top,0,10,12,gfpga_pad_IO_F2A[172],F2A_GPIO1_8,
Top,0,10,11,gfpga_pad_IO_A2F[171],A2F_GPIO1_11,
Top,0,10,10,gfpga_pad_IO_A2F[170],A2F_GPIO1_10,
Top,0,10,9,gfpga_pad_IO_A2F[169],A2F_GPIO1_9,
Top,0,10,8,gfpga_pad_IO_A2F[168],A2F_GPIO1_8,
Top,0,10,7,gfpga_pad_IO_A2F[167],A2F_RAM_DATA7_HS,
Top,0,10,6,gfpga_pad_IO_A2F[166],A2F_RAM_DATA6_HS,
Top,0,10,5,gfpga_pad_IO_A2F[165],A2F_RAM_DATA5_HS,
Top,0,10,4,gfpga_pad_IO_A2F[164],A2F_RAM_DATA4_HS,
Top,0,10,3,gfpga_pad_IO_A2F[163],A2F_RAM_DATA3_HS,
Top,0,10,2,gfpga_pad_IO_A2F[162],A2F_RAM_DATA2_HS,
Top,0,10,1,gfpga_pad_IO_A2F[161],A2F_RAM_DATA1_HS,
Top,0,10,0,gfpga_pad_IO_A2F[160],A2F_RAM_DATA0_HS,
Top,0,9,15,gfpga_pad_IO_F2A[159],F2A_GPIO1_7,
Top,0,9,14,gfpga_pad_IO_F2A[158],F2A_GPIO1_6,
Top,0,9,13,gfpga_pad_IO_F2A[157],F2A_GPIO1_5,
Top,0,9,12,gfpga_pad_IO_F2A[156],F2A_GPIO1_4,
Top,0,9,11,gfpga_pad_IO_A2F[155],A2F_GPIO1_7,
Top,0,9,10,gfpga_pad_IO_A2F[154],A2F_GPIO1_6,
Top,0,9,9,gfpga_pad_IO_A2F[153],A2F_GPIO1_5,
Top,0,9,8,gfpga_pad_IO_A2F[152],A2F_GPIO1_4,
Top,0,9,7,gfpga_pad_IO_A2F[151],A2F_RAM_DATA15_HS,
Top,0,9,6,gfpga_pad_IO_A2F[150],A2F_RAM_DATA14_HS,
Top,0,9,5,gfpga_pad_IO_A2F[149],A2F_RAM_DATA13_HS,
Top,0,9,4,gfpga_pad_IO_A2F[148],A2F_RAM_DATA12_HS,
Top,0,9,3,gfpga_pad_IO_A2F[147],A2F_RAM_DATA11_HS,
Top,0,9,2,gfpga_pad_IO_A2F[146],A2F_RAM_DATA10_HS,
Top,0,9,1,gfpga_pad_IO_A2F[145],A2F_RAM_DATA9_HS,
Top,0,9,0,gfpga_pad_IO_A2F[144],A2F_RAM_DATA8_HS,
Top,0,8,15,gfpga_pad_IO_F2A[143],F2A_GPIO1_3,
Top,0,8,14,gfpga_pad_IO_F2A[142],F2A_GPIO1_2,
Top,0,8,13,gfpga_pad_IO_F2A[141],F2A_GPIO1_1,
Top,0,8,12,gfpga_pad_IO_F2A[140],F2A_GPIO1_0,
Top,0,8,11,gfpga_pad_IO_A2F[139],A2F_GPIO1_3,
Top,0,8,10,gfpga_pad_IO_A2F[138],A2F_GPIO1_2,
Top,0,8,9,gfpga_pad_IO_A2F[137],A2F_GPIO1_1,
Top,0,8,8,gfpga_pad_IO_A2F[136],A2F_GPIO1_0,
Top,0,8,5,gfpga_pad_IO_F2A[133],F2A_TSC3_EVENT,
Top,0,8,4,gfpga_pad_IO_F2A[132],F2A_TSC2_EVENT,
Top,0,8,3,gfpga_pad_IO_A2F[131],A2F_GPIO0_WR_ACK,
Top,0,8,2,gfpga_pad_IO_A2F[130],A2F_GPIO0_RD_ACK,
Top,0,8,1,gfpga_pad_IO_A2F[129],A2F_IRQ4_ACK,
Top,0,8,0,gfpga_pad_IO_F2A[128],F2A_IRQ4,
Top,0,7,15,gfpga_pad_IO_F2A[127],F2A_GPIO0_31,
Top,0,7,14,gfpga_pad_IO_F2A[126],F2A_GPIO0_30,
Top,0,7,13,gfpga_pad_IO_F2A[125],F2A_GPIO0_29,
Top,0,7,12,gfpga_pad_IO_F2A[124],F2A_GPIO0_28,
Top,0,7,11,gfpga_pad_IO_A2F[123],A2F_GPIO0_31,
Top,0,7,10,gfpga_pad_IO_A2F[122],A2F_GPIO0_30,
Top,0,7,9,gfpga_pad_IO_A2F[121],A2F_GPIO0_29,
Top,0,7,8,gfpga_pad_IO_A2F[120],A2F_GPIO0_28,
Top,0,7,5,gfpga_pad_IO_F2A[117],F2A_TSC1_EVENT,
Top,0,7,4,gfpga_pad_IO_F2A[116],F2A_TSC0_EVENT,
Top,0,7,3,gfpga_pad_IO_A2F[115],A2F_GPIO1_WR_ACK,
Top,0,7,2,gfpga_pad_IO_A2F[114],A2F_GPIO1_RD_ACK,
Top,0,7,1,gfpga_pad_IO_A2F[113],A2F_IRQ3_ACK,
Top,0,7,0,gfpga_pad_IO_F2A[112],F2A_IRQ3,
Top,0,6,15,gfpga_pad_IO_F2A[111],F2A_GPIO0_27,
Top,0,6,14,gfpga_pad_IO_F2A[110],F2A_GPIO0_26,
Top,0,6,13,gfpga_pad_IO_F2A[109],F2A_GPIO0_25,
Top,0,6,12,gfpga_pad_IO_F2A[108],F2A_GPIO0_24,
Top,0,6,11,gfpga_pad_IO_A2F[107],A2F_GPIO0_27,
Top,0,6,10,gfpga_pad_IO_A2F[106],A2F_GPIO0_26,
Top,0,6,9,gfpga_pad_IO_A2F[105],A2F_GPIO0_25,
Top,0,6,8,gfpga_pad_IO_A2F[104],A2F_GPIO0_24,
Top,0,6,5,gfpga_pad_IO_A2F[101],RFU,
Top,0,6,4,gfpga_pad_IO_A2F[100],RFU,
Top,0,6,3,gfpga_pad_IO_F2A[99],RFU,
Top,0,6,2,gfpga_pad_IO_F2A[98],RFU,
Top,0,6,1,gfpga_pad_IO_A2F[97],A2F_IRQ2_ACK,
Top,0,6,0,gfpga_pad_IO_F2A[96],F2A_IRQ2,
Top,0,5,15,gfpga_pad_IO_F2A[95],F2A_GPIO0_23,
Top,0,5,14,gfpga_pad_IO_F2A[94],F2A_GPIO0_22,
Top,0,5,13,gfpga_pad_IO_F2A[93],F2A_GPIO0_21,
Top,0,5,12,gfpga_pad_IO_F2A[92],F2A_GPIO0_20,
Top,0,5,11,gfpga_pad_IO_A2F[91],A2F_GPIO0_23,
Top,0,5,10,gfpga_pad_IO_A2F[90],A2F_GPIO0_22,
Top,0,5,9,gfpga_pad_IO_A2F[89],A2F_GPIO0_21,
Top,0,5,8,gfpga_pad_IO_A2F[88],A2F_GPIO0_20,
Top,0,5,5,gfpga_pad_IO_A2F[85],RFU,
Top,0,5,4,gfpga_pad_IO_A2F[84],RFU,
Top,0,5,3,gfpga_pad_IO_F2A[83],RFU,
Top,0,5,2,gfpga_pad_IO_F2A[82],RFU,
Top,0,5,1,gfpga_pad_IO_A2F[81],A2F_IRQ1_ACK,
Top,0,5,0,gfpga_pad_IO_F2A[80],F2A_IRQ1,
Top,0,4,15,gfpga_pad_IO_F2A[79],F2A_GPIO0_19,
Top,0,4,14,gfpga_pad_IO_F2A[78],F2A_GPIO0_18,
Top,0,4,13,gfpga_pad_IO_F2A[77],F2A_GPIO0_17,
Top,0,4,12,gfpga_pad_IO_F2A[76],F2A_GPIO0_16,
Top,0,4,11,gfpga_pad_IO_A2F[75],A2F_GPIO0_19,
Top,0,4,10,gfpga_pad_IO_A2F[74],A2F_GPIO0_18,
Top,0,4,9,gfpga_pad_IO_A2F[73],A2F_GPIO0_17,
Top,0,4,8,gfpga_pad_IO_A2F[72],A2F_GPIO0_16,
Top,0,4,1,gfpga_pad_IO_A2F[65],A2F_IRQ0_ACK,
Top,0,4,0,gfpga_pad_IO_F2A[64],F2A_IRQ0,
Top,0,3,15,gfpga_pad_IO_F2A[63],F2A_GPIO0_15,
Top,0,3,14,gfpga_pad_IO_F2A[62],F2A_GPIO0_14,
Top,0,3,13,gfpga_pad_IO_F2A[61],F2A_GPIO0_13,
Top,0,3,12,gfpga_pad_IO_F2A[60],F2A_GPIO0_12,
Top,0,3,11,gfpga_pad_IO_A2F[59],A2F_GPIO0_15,
Top,0,3,10,gfpga_pad_IO_A2F[58],A2F_GPIO0_14,
Top,0,3,9,gfpga_pad_IO_A2F[57],A2F_GPIO0_13,
Top,0,3,8,gfpga_pad_IO_A2F[56],A2F_GPIO0_12,
Top,0,3,0,gfpga_pad_IO_A2F[48],A2F_GLOBAL_MUTE,
Top,0,2,15,gfpga_pad_IO_F2A[47],F2A_GPIO0_11,
Top,0,2,14,gfpga_pad_IO_F2A[46],F2A_GPIO0_10,
Top,0,2,13,gfpga_pad_IO_F2A[45],F2A_GPIO0_9,
Top,0,2,12,gfpga_pad_IO_F2A[44],F2A_GPIO0_8,
Top,0,2,11,gfpga_pad_IO_A2F[43],A2F_GPIO0_11,
Top,0,2,10,gfpga_pad_IO_A2F[42],A2F_GPIO0_10,
Top,0,2,9,gfpga_pad_IO_A2F[41],A2F_GPIO0_9,
Top,0,2,8,gfpga_pad_IO_A2F[40],A2F_GPIO0_8,
Top,0,2,0,gfpga_pad_IO_F2A[32],F2A_LB_CLK_T,
Top,0,1,15,gfpga_pad_IO_F2A[31],F2A_GPIO0_7,
Top,0,1,14,gfpga_pad_IO_F2A[30],F2A_GPIO0_6,
Top,0,1,13,gfpga_pad_IO_F2A[29],F2A_GPIO0_5,
Top,0,1,12,gfpga_pad_IO_F2A[28],F2A_GPIO0_4,
Top,0,1,11,gfpga_pad_IO_A2F[27],A2F_GPIO0_7,
Top,0,1,10,gfpga_pad_IO_A2F[26],A2F_GPIO0_6,
Top,0,1,9,gfpga_pad_IO_A2F[25],A2F_GPIO0_5,
Top,0,1,8,gfpga_pad_IO_A2F[24],A2F_GPIO0_4,
Top,0,0,15,gfpga_pad_IO_F2A[15],F2A_GPIO0_3,
Top,0,0,14,gfpga_pad_IO_F2A[14],F2A_GPIO0_2,
Top,0,0,13,gfpga_pad_IO_F2A[13],F2A_GPIO0_1,
Top,0,0,12,gfpga_pad_IO_F2A[12],F2A_GPIO0_0,
Top,0,0,11,gfpga_pad_IO_A2F[11],A2F_GPIO0_3,
Top,0,0,10,gfpga_pad_IO_A2F[10],A2F_GPIO0_2,
Top,0,0,9,gfpga_pad_IO_A2F[9],A2F_GPIO0_1,
Top,0,0,8,gfpga_pad_IO_A2F[8],A2F_GPIO0_0,
Right,20,24,2,gfpga_pad_IO_A2F[706],P2F_GPIO112_IN,
Right,20,24,1,gfpga_pad_IO_F2A[705],F2P_GPIO112_OUT,
Right,20,24,0,gfpga_pad_IO_F2A[704],F2P_GPIO112_OE,
Right,19,24,6,gfpga_pad_IO_A2F[694],P2F_GPIO113_IN,
Right,19,24,5,gfpga_pad_IO_F2A[693],F2P_GPIO113_OUT,
Right,19,24,4,gfpga_pad_IO_F2A[692],F2P_GPIO113_OE,
Right,19,24,2,gfpga_pad_IO_A2F[690],P2F_GPIO114_IN,
Right,19,24,1,gfpga_pad_IO_F2A[689],F2P_GPIO114_OUT,
Right,19,24,0,gfpga_pad_IO_F2A[688],F2P_GPIO114_OE,
Right,18,24,6,gfpga_pad_IO_A2F[678],P2F_GPIO115_IN,
Right,18,24,5,gfpga_pad_IO_F2A[677],F2P_GPIO115_OUT,
Right,18,24,4,gfpga_pad_IO_F2A[676],F2P_GPIO115_OE,
Right,18,24,2,gfpga_pad_IO_A2F[674],P2F_GPIO116_IN,
Right,18,24,1,gfpga_pad_IO_F2A[673],F2P_GPIO116_OUT,
Right,18,24,0,gfpga_pad_IO_F2A[672],F2P_GPIO116_OE,
Right,17,24,14,gfpga_pad_IO_A2F[670],RFU,
Right,17,24,13,gfpga_pad_IO_F2A[669],RFU,
Right,17,24,12,gfpga_pad_IO_F2A[668],RFU,
Right,17,24,10,gfpga_pad_IO_A2F[666],RFU,
Right,17,24,9,gfpga_pad_IO_F2A[665],RFU,
Right,17,24,8,gfpga_pad_IO_F2A[664],RFU,
Right,17,24,6,gfpga_pad_IO_A2F[662],P2F_GPIO117_IN,
Right,17,24,5,gfpga_pad_IO_F2A[661],F2P_GPIO117_OUT,
Right,17,24,4,gfpga_pad_IO_F2A[660],F2P_GPIO117_OE,
Right,17,24,2,gfpga_pad_IO_A2F[658],P2F_GPIO118_IN,
Right,17,24,1,gfpga_pad_IO_F2A[657],F2P_GPIO118_OUT,
Right,17,24,0,gfpga_pad_IO_F2A[656],F2P_GPIO118_OE,
Right,16,24,14,gfpga_pad_IO_A2F[654],RFU,
Right,16,24,13,gfpga_pad_IO_F2A[653],RFU,
Right,16,24,12,gfpga_pad_IO_F2A[652],RFU,
Right,16,24,10,gfpga_pad_IO_A2F[650],RFU,
Right,16,24,9,gfpga_pad_IO_F2A[649],RFU,
Right,16,24,8,gfpga_pad_IO_F2A[648],RFU,
Right,16,24,6,gfpga_pad_IO_A2F[646],P2F_GPIO119_IN,
Right,16,24,5,gfpga_pad_IO_F2A[645],F2P_GPIO119_OUT,
Right,16,24,4,gfpga_pad_IO_F2A[644],F2P_GPIO119_OE,
Right,16,24,2,gfpga_pad_IO_A2F[642],P2F_GPIO120_IN,
